#Country Name: Please see filename.

graphical_culture = westerngfx

color = { 180  190  200 }

revolutionary_colors = { 12  0  6 }

historical_score = 6700

historical_idea_groups = {
	economic_ideas
	offensive_ideas
	exploration_ideas
	defensive_ideas	
	administrative_ideas	
	maritime_ideas
	quality_ideas
	innovativeness_ideas
}

historical_units = {
	western_medieval_infantry
	chevauchee
	western_men_at_arms
	swiss_landsknechten
	dutch_maurician
	french_caracolle
	anglofrench_line
	french_dragoon
	french_bluecoat
	french_cuirassier
	french_impulse
	mixed_order_infantry
	open_order_cavalry
	napoleonic_square
	napoleonic_lancers
}

monarch_names = {
	"Louis #10" = 160
	"Charles #5" = 80
	"Henri #1" = 60
	"François #0" = 40
	"Philippe #6" = 10
	"Jean #2" = 10
	"Gaston #0" = 10
	"Nicolas-Henri #0" = 10
	"Louis-François #0" = 5
	"Jacques #0" = 5
	"Joachim #0" = 5
	"Xavier #0" = 5
	"Robert #2" = 1
	"Hugues #1" = 1
	"Raoul #1" = 1
	"Alexandre #0" = 0
	"Alphonse #0" = 0
	"Ambroise #0" = 0
	"Armand #0" = 0
	"Augustin #0" = 0
	"Barthélemy #0" = 0
	"Benoît #0" = 0
	"Bernard #0" = 0
	"Blaise #0" = 0
	"Claude #0" = 0
	"Clément #0" = 0
	"Denis #0" = 0
	"Étienne #0" = 0
	"Firmin #0" = 0
	"Georges #0" = 0
	"Guy #0" = 0
	"Guillaume #0" = 0
	"Ignace #0" = 0
	"Jean-Antoine #0" = 0
	"Jean-Baptiste #0" = 0
	"Jean-Jacques #0" = 0
	"Jean-Philippe #0" = 0
	"Joseph #0" = 0
	"Josquin #0" = 0
	"Jules #0" = 0
	"Marc #0" = 0
	"Maurice #0" = 0
	"Maximilien #0" = 0
	"Michel #0" = 0
	"Nicolas #0" = 0
	"Pascal #0" = 0
	"Pierre #0" = 0
	"René #0" = 0
	"Sébastien #0" = 0
	"Simon #0" = 0
	"Jeanne #0" = -10
	"Marie #0" = -1
	"Charlotte #0" = -1
	"Anne #0" = -10
	"Marguerite #0" = -10
	"Adélaïde #0" = -10
}

leader_names = {
	d'Ambleteuse d'Aulnay
	"de Beauharnais" "de Bercy" "de Béthune" "de Boissieu" "de Bonnefoy" "de Bonneuil" "du Bosquet" "de la Bretonnière" "de Broglie"
	"de Castaing" "de Caumartin" "de Chambly" "de Chambronne" "de Champmartin" "de Chevigny" "des Coulons" "de Crèvecœur" "de Crussol"
	"de Dampierre" Desgouttes Duquesne
	"des Écures" d'Entraigues d'Estrées
	"du Fournay"
	"de Galard"
	"des Herbiers"
	"de La Barthe" "de La Ferrandie" "de La Galissonière" "de La Mothe" "de La Motte d'Airan" "de La Porte" "Le Tellier" "de Lhéry" "de Luynes"
	"de Marguerye" "de Maurepas"
	"de Neufchâtel"
	"d'Ornano"
	"de Pellefort"
	"de Richemont" "de Rochechouart" "de Rochemaure" "de Rieu"
	"de Saint-Chamond" "de Saint-Esprit" "de Saint-Germain" "de Saint-Omer" "de Siorac"
	"de Tocqueville" "de La Tour d'Auvergne" "de Tréville"
	"d'Usson"
	"du Valentinois" "de Vergennes" "de Vibien" "de Vigny" "de Villeneuve"
	"Appiani d'Aragona" "Arborio Mella" 
	Barberini Barzagli Boncompagni Borghese Borromeo Buonarroti "di Busca"
	"di Campofregoso" Carafa "di Cardé" "del Carreto" Casanova Castagna
	Castagnaro "di Cavour" Chigi Colonna Contarini Conti Corsini Cybo 
	"Doria di Cirié" Doria-Landi Doria-Pamphili
	d'Este 	"di Farnese" "di Ferrari"
	"Gaetani dell'Aquila" Galilei Gambacorta Gentileschi Giustiniani Gonzaga Grimaldi
	Ludovisi Malaspina "de' Medici" Melzi Montefeltro Orsini
	"di Paesana" "Paleologi Montferrato" Pallavicini Paradisi Petrucci Pico Pignatelli
	"dalla Rosa" "della Rovere"
