num_symbols = 120

color = { 235 235 235 }	# White
color = { 10 10 10 }	# Dark Grey
color = { 117 38 143 }	# Purple
color = { 113 11 43 }	# Dark Red
color = { 97 12 12 }	# Blood Red
color = { 175 15 15 }	# Red
color = { 188 90 27 }	# Orange
color = { 64 40 22 }	# Brown
color = { 244 184 12 }	# Yellow
color = { 17 53 13}	# Dark Green
color = { 46 114 55 }	# Light Green
color = { 18 179 113 }	# Teal
color = { 50 173 192 }	# Turqious
color = { 30 30 128 }	# Azure-blue
color = { 116 198 240 }	# Skye Blue
color = { 136 79 101 }  # Hungary red
color = { 194 129 142 }	# Pale Pink
color = { 217 84 84 }	# Pink
color = { 105 68 62 }	# Light Brown
color = { 220 178 155 }	# Beige
color = { 255 125 49 }  # Bright Orange
color = { 139 117 96 }	# Light Gray
color = { 180 179 100 }	# Yellow-Gray
color = { 109 123 82 }	# Green-Gray
color = { 73 147 29 }   # Deep Green
color = { 47 172 74 }	# Blueish Green
color = { 77 207 157 }	# Pale Teal
color = { 44 130 117 }	# Grey-Green
color = { 18 67 84 }	# Dark Grey-Blue
color = { 46 110 176 }	# Pale Blue
color = { 48 64 126 }   # Grey Blue
color = { 32 30 65 }	# Dark Blue
color = { 90 115 120 }
color = { 65 89 50 }
color = { 137 105 39 }
color = { 50 95 15 }
color = { 8 56 255 }
color = { 242 213 118 }
color = { 0 0 150 }
color = { 0 150 0 }
color = { 150 0 0 }
color = { 255 163 25 } #42
color = { 134 181 47 } #43
color = { 255 255 255 } #44
color = { 175 175 175 } #45
color = { 75 75 75 } #46
color = { 100 65 125 } #47
color = { 255 225 0 } #48
color = { 140 10 30 } #49
color = { 15  46  86 } #50
color = { 63  101  150 } #51
color = { 63  150  80 } #52
color = { 255  255  255 } #53
color = { 145  180  235 } #54
color = { 235  180  100 } #55
color = { 153  193  209 } #56
color = { 219  205  147 } #57
color = { 219  190  147 } #58
color = { 252  184  104 } #59
color = { 50  168  82 } #60
color = { 50  72  168 } #61
color = { 168  88  50 } #62
color = { 130  101  57 } #63
color = { 40  79  51 } #64
color = { 97  28  28 } #65
color = { 85  120  68 } #66
color = { 89  34  50 } #67
color = { 245 239 152 } #68
color = { 255 247 222 } #69 (hahah)
color = { 156 152 143 } #70
color = { 50 75 112 } #71
color = { 60 110 148 } #72
color = { 20 38 66 } #73
color = { 145 175 219 } #74
color = { 34 61 115 } #75
color = { 53 95 115 } #76
color = { 53 115 74 } #77
color = { 0 0 0 } #78
color = { 20 20 20 } #79
color = { 50 48 40 } #80
color = { 68 21 24 } #81
color = { 166 132 20 } #82
color = { 145 25 35 } #83
color = { 45 75 145 } #84
color = { 237 176 78 } #85
color = { 125 48 58 } #86
color = { 2 16 84 } #87
color = { 52 66 94 } #88
color = { 145 15 45 } #89
color = { 141 194 68 } #90
color = { 145 30 60 } #91
color = { 92 117 230 } #92
